"","X","RT","SERIALNO","SPORDER","PUMA","ST","ADJINC","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTR","LANP","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPI","MLPJ","MLPK","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FHICOVP","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","MIGPUMA","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRP","FLANP","FLANXP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMARP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWP","FWRKP","FYOEP","stdworker"
"18847",85442,"P",467360,1,5201,"Texas/TX",1007588,38,"Born in the U.S.",NA,"Local government employee","No","No","No","No","No",NA,NA,"No",NA,NA,"No",NA,NA,"Yes","No","No","No","No","No","No",0,30,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Married","No","No","One time","No",2001,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Reference person","None","No, has not attended in the last 3 months",NA,"Bachelor's degree",0,"Male","None","None",72000,56,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Multiple","Italian","English",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No","CIVIL ENGINEERING",NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","11:00 a.m. to 11:04 a.m.","10:30 a.m. to 10:39 a.m.",NA,NA,"Now married, spouse present","ADM-JUSTICE, PUBLIC ORDER, AND SAFETY ACTIVITIES","Native",NA,"No (includes GQ)","PRT-FIREFIGHTERS",NA,72000,72000,"Michigan/MI","297","05300","Texas/TX","With private health insurance coverage","Without public health coverage","October through December","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)","Yes","No",NA,NA,"PRT-FIREFIGHTERS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"18895",85643,"P",501851,2,1907,"Texas/TX",1007588,32,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,NA,"No",NA,NA,"No","No","No","Yes","No","No","No",0,NA,NA,"Worked at home",NA,"No, speaks only English","Married","No","No","One time","No",2006,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Husband/wife","None","No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Male","None","None",70000,45,"Within the past 12 months","50 to 52 weeks worked during past 12 months",NA,NA,"Not reported","Not reported","Not reported",NA,"Without a disability",NA,NA,"Civilian employed, at work","Yes",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","MFG-NOT SPECIFIED MANUFACTURING INDUSTRIES",NA,NA,NA,NA,"Now married, spouse present","MFG-NOT SPECIFIED INDUSTRIES","Native",NA,"No (includes GQ)","PRD-MACHINISTS",NA,70000,70000,"Montana/MT","297","01900","Texas/TX","Without private health insurance coverage","With public health coverage","July through September","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"PRD-MACHINISTS",NA,"US state (POB = 001-059)","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No","Yes","Yes",NA,"Yes","No","Yes",NA,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No",TRUE
"2986",13388,"P",1072979,5,5302,"California/CA",1007588,21,"Not a citizen of the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Well",NA,NA,NA,NA,"No","No","No","Yes","No","No","No",0,25,NA,"Other method","Spanish","Yes, speaks another language","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Other relative","None","No, has not attended in the last 3 months",NA,"no high school diploma",0,"Male","None","None",12000,48,"Within the past 12 months","27 to 39 weeks worked during past 12 months","Worked",2008,"Single","Mexican","Not reported","2000 or later","Without a disability",NA,NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Mexican","AGR-CROP PRODUCTION","5:55 a.m. to 5:59 a.m.","5:30 a.m. to 5:34 a.m.",NA,NA,"Never married","AGR-CROP PRODUCTION","Foreign born",NA,"No (includes GQ)","FFF-MISCELLANEOUS AGRICULTURAL WORKERS, INCLUDING ANIMAL BREEDERS",NA,12000,12000,"Mexico","086","05300","California/CA","Without private health insurance coverage","With public health coverage","January through March","Some Other Race alone","Some Other Race alone","Some Other Race alone","No","No","No","No",1,"No","Yes","No","No (includes GQ)",NA,NA,NA,NA,"FFF-MISCELLANEOUS AGRICULTURAL WORKERS, INCLUDING ANIMAL BREEDERS *",NA,"Latin America (POB = 303,310-399)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No","No","No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"1842",8221,"P",433347,1,109,"California/CA",1007588,35,"Not a citizen of the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Very well",NA,"No",NA,NA,"Yes","Yes","No","No","No","No","No",0,40,"In 2-person carpool","Car, truck, or van","Tamil","Yes, speaks another language","Married","No","No","One time","No",2005,"No, different house in US or Puerto Rico","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Reference person","None","No, has not attended in the last 3 months",NA,"Bachelor's degree",0,"Male","None","None",120000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",2010,"Single","Asian Indian","Not reported","2000 or later","Without a disability","0.500 vehicles (In a 2-person carpool)",NA,"Civilian employed, at work","No","COMPUTER ENGINEERING",NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","RET-ELECTRONIC AUCTIONS","9:10 a.m. to 9:14 a.m.","8:30 a.m. to 8:34 a.m.","08500","California/CA","Now married, spouse present","RET-ELECTRONIC AUCTIONS","Foreign born",NA,"No (includes GQ)","CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE",NA,120000,120000,"India","501 percent or more","08500","California/CA","With private health insurance coverage","Without public health coverage","July through September","Asian alone","Asian Indian alone","Asian Indian alone","No","Yes","No","No",1,"No","No","No","No (includes GQ)","Yes","No",NA,NA,"CMM-SOFTWARE DEVELOPERS,APPLICATIONS AND SYSTEMS SOFTWARE*",NA,"Asia (POB = 158-159,161,200-299)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No",TRUE
"3371",15175,"P",1288250,2,107,"California/CA",1007588,39,"U.S. citizen by naturalization",2011,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Not well",NA,"No",NA,NA,"Yes","No","No","No","No","No","No",0,60,"Drove alone","Car, truck, or van","Dari","Yes, speaks another language","Married","No","No","One time","No",2005,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Husband/wife","None","No, has not attended in the last 3 months",NA,"no high school diploma",0,"Male","None","None",60000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",2007,"Single","Afghan","Not reported","2000 or later","Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","RET-CLOTHING STORES","8:00 a.m. to 8:04 a.m.","7:00 a.m. to 7:04 a.m.",NA,NA,"Now married, spouse present","RET-CLOTHING STORES","Foreign born",NA,"No (includes GQ)","SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS",NA,60000,60000,"Afghanistan","312","08100","California/CA","With private health insurance coverage","Without public health coverage","April through June","Two or More Races","Two or More Races","White; Other Asian","No","Yes","No","No",2,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS",NA,"Asia (POB = 158-159,161,200-299)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"11638",52560,"P",726167,2,1600,"Missouri/MO",1007588,49,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,"No","No",NA,NA,"Yes","No","No","No","No","No","No",700,20,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Divorced","No","No","One time","No",1991,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Unmarried partner","None","No, has not attended in the last 3 months",NA,"some college credit, no degree",0,"Female","None","None",40000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Multiple","American Indian","Irish",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","FIN-SECURITIES, COMMODITIES, FUNDS, TRUSTS, AND OTHER FINANCIAL INVESTMENTS","7:55 a.m. to 7:59 a.m.","7:35 a.m. to 7:39 a.m.",NA,NA,"Divorced","FIN-SECURITIES, COMMODITIES, FUNDS, TRUSTS, AND OTHER FINANCIAL INVESTMENTS","Native",NA,"No (includes GQ)","OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS","Females with no own children",40000,40700,"Missouri/MO","328","01600","Missouri/MO","With private health insurance coverage","Without public health coverage","January through March","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
"4761",21240,"P",197290,1,10103,"Florida/FL",1007588,31,"U.S. citizen by naturalization",2013,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,"No","No",NA,NA,"No","No","No","No","No","No","No",0,26,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Never married or under 15 years old",NA,NA,NA,NA,NA,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","000800","None","Reference person","None","No, has not attended in the last 3 months",NA,"Associate's degree",0,"Female","None","None",28000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",1998,"Single","Haitian","Not reported","1990 - 1999","Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"No health insurance coverage","Not Spanish/Hispanic/Latino","MED-RESIDENTIAL CARE FACILITIES, EXCEPT SKILLED NURSING FACILITIES","5:55 a.m. to 5:59 a.m.","5:30 a.m. to 5:34 a.m.",NA,NA,"Never married","MED-RESIDENTIAL CARE FACILITIES, EXCEPT SKILLED NURSING FACILITIES","Foreign born",NA,"No (includes GQ)","PRS-PERSONAL CARE AIDES","Females with own children 6 to 17 years only",28000,28800,"Haiti","149","10300","Florida/FL","Without private health insurance coverage","Without public health coverage","January through March","Black or African American alone","Black or African American alone","Black or African American alone","No","No","Yes","No",1,"No","No","No","No (includes GQ)",NA,NA,NA,NA,"PRS-PERSONAL CARE AIDES",NA,"Latin America (POB = 303,310-399)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",TRUE
"6746",30392,"P",1314807,2,302,"Hawaii/HI",1007588,50,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,"No","No",NA,NA,"Yes","No","No","No","No","No","No",0,30,"Drove alone","Car, truck, or van",NA,"No, speaks only English","Married","No","No","One time","No",1983,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Husband/wife","None","No, has not attended in the last 3 months",NA,"Regular high school diploma",0,"Female","None","None",36000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",NA,"Multiple","German","Japanese",NA,"Without a disability","1.000 vehicles (Drove alone)",NA,"Civilian employed, at work","No",NA,NA,"With health insurance coverage","Not Spanish/Hispanic/Latino","FIN-BANKING AND RELATED ACTIVITIES","7:00 a.m. to 7:04 a.m.","6:30 a.m. to 6:34 a.m.",NA,NA,"Now married, spouse present","FIN-BANKING AND RELATED ACTIVITIES","Native",NA,"No (includes GQ)","OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS","Females with own children 6 to 17 years only",36000,36000,"Hawaii/HI","501 percent or more","00300","Hawaii/HI","With private health insurance coverage","Without public health coverage","July through September","Two or More Races","Two or More Races","White; Japanese","No","Yes","No","No",2,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS",NA,"US state (POB = 001-059)","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",TRUE
"16128",73272,"P",1329040,2,800,"Oklahoma/OK",1007588,27,"Born in the U.S.",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No",NA,NA,NA,NA,NA,"No","No","No","No","No","No","No",0,27,"In 2-person carpool","Car, truck, or van",NA,"No, speaks only English","Separated","No","No","One time","No",2012,"No, different house in US or Puerto Rico","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Brother or sister","None","No, has not attended in the last 3 months",NA,"GED or alternative credential",0,"Male","None","None",24000,44,"Within the past 12 months","48 to 49 weeks worked during past 12 months","Worked",NA,"Single","White","Not reported",NA,"Without a disability","0.500 vehicles (In a 2-person carpool)",NA,"Civilian employed, at work","No",NA,NA,"No health insurance coverage","Not Spanish/Hispanic/Latino","RET-FURNITURE AND HOME FURNISHINGS STORES","8:25 a.m. to 8:29 a.m.","8:00 a.m. to 8:04 a.m.","00800","Oklahoma/OK","Separated","RET-FURNITURE AND HOME FURNISHINGS STORES","Native",NA,"No (includes GQ)","TRN-AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS",NA,24000,24000,"Oklahoma/OK","332","01000","Oklahoma/OK","Without private health insurance coverage","Without public health coverage","April through June","White alone","White alone","White alone","No","No","No","No",1,"No","No","Yes","No (includes GQ)",NA,NA,NA,NA,"TRN-AUTOMOTIVE AND WATERCRAFT SERVICE ATTENDANTS",NA,"US state (POB = 001-059)","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No",TRUE
"2757",12423,"P",951237,1,6101,"California/CA",1007588,49,"Born abroad of American parent(s)",NA,"Employee of a private for profit","No","No","No","No","No",NA,NA,"No","Not at all","No","No",NA,NA,"No","No","No","No","No","No","No",0,16,"In 2-person carpool","Car, truck, or van","Spanish","Yes, speaks another language","Married","No","No","One time","No",1988,"Yes, same house (nonmovers)","Never served in the military",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not report","Did not report","Did not report","Did not report","Did not report","None","None","Reference person","None","No, has not attended in the last 3 months",NA,"no high school diploma",0,"Female","None","None",33000,40,"Within the past 12 months","50 to 52 weeks worked during past 12 months","Worked",1989,"Single","Mexican","Not reported","1980 - 1989","Without a disability","0.500 vehicles (In a 2-person carpool)",NA,"Civilian employed, at work","No",NA,NA,"No health insurance coverage","Mexican","PRF-SERVICES TO BUILDINGS AND DWELLINGS, EX CONSTR CLN","5:45 a.m. to 5:49 a.m.","5:30 a.m. to 5:34 a.m.",NA,NA,"Now married, spouse present","PRF-SERVICES TO BUILDINGS AND DWELLINGS, EX CONSTR CLN","Native",NA,"No (includes GQ)","CLN-JANITORS AND BUILDING CLEANERS","Females with no own children",33000,33000,"Mexico","387","06700","California/CA","Without private health insurance coverage","Without public health coverage","July through September","Some Other Race alone","Some Other Race alone","Some Other Race alone","No","No","No","No",1,"No","Yes","No","No (includes GQ)",NA,NA,NA,NA,"CLN-JANITORS AND BUILDING CLEANERS *",NA,"Latin America (POB = 303,310-399)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",NA,"No",NA,"No",NA,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",TRUE
